cholesterol_level,population_perc
52.5,0.0
57.5,0.0
62.5,0.06904688633383571
67.5,0.0
72.5,0.0710851454265655
77.5,0.0
82.5,0.0
87.5,0.17000044688721838
92.5,0.0
97.5,0.2704556074078718
102.5,0.24118221507273468
107.5,0.41847993454725096
112.5,0.3264263522319796
117.5,1.8257672430739718
122.5,0.9532546466371444
127.5,0.898291573810246
132.5,1.2803169600625404
137.5,1.5071150196657803
142.5,2.0122956056771546
147.5,2.9974087297052106
152.5,2.3795035665316164
157.5,3.6753960800338734
162.5,4.192041924839857
167.5,4.895859405735355
172.5,3.2184795152959937
177.5,5.797366551575172
182.5,3.9108684007151386
187.5,4.039173957622555
192.5,5.1538503368585715
197.5,5.260797306381943
202.5,4.25007505460846
207.5,4.724060132952709
212.5,3.113689995939527
217.5,2.794879632161431
222.5,4.220848203962728
227.5,2.570911465790671
232.5,3.440084402474587
237.5,2.4222634596704165
242.5,1.7989415856138062
247.5,2.418502300499888
252.5,2.1669329998428006
257.5,1.910876896211261
262.5,3.047216528805449
267.5,0.9376578735225245
272.5,0.7404648020942536
277.5,0.6027248264181869
282.5,0.7273816385597358
287.5,0.1508272173903224
292.5,0.0
297.5,0.061953952710999995
302.5,0.2127450131363097
307.5,0.167332273085662
312.5,0.2518681593320224
317.5,0.12163752209659925
322.5,0.12330660941669007
327.5,0.0
332.5,0.08170683722239155
337.5,0.17965011863601738
342.5,0.1762952280929087
347.5,0.0
352.5,0.0
357.5,0.0
362.5,0.19075490742293477
367.5,0.0
372.5,0.0
377.5,0.3396967337631825
382.5,0.0
387.5,0.0
392.5,0.4902502164359611
397.5,0.0
